name,tomatometer,audience_score,weighted_score,genres,rating,duration,year,actors,directors,domestic_revenue,international_revenue,worldwide_revenue,budget
The Super Mario Bros. Movie,59,95,71,"['Kids & Family', 'Comedy', 'Adventure', 'Animation']",PG,1h 32m,2023,"['Chris Pratt', 'Anya Taylor-Joy', 'Charlie Day', 'Jack Black', 'Keegan-Michael Key']","['Aaron Horvath 2', 'Michael Jelenic']",1208479,0,1208479,0
Marisol,100,67,88,['Drama'],,1h 31m,2023,"['Esmeralda Camargo', 'Ricky Catter', 'Liana Mendoza', 'Max Pelayo', 'Mia King']",['Kevin Abrams 2'],132555,0,132555,0
Still: A Michael J. Fox Movie,99,95,97,"['Documentary', 'Biography']",R,1h 35m,2023,"['Michael J. Fox', 'Tracy Pollan', 'Andrew Barber', 'David Diamond', 'Hannah Galway']",['Davis Guggenheim'],10748,0,10748,0
Fast X,56,84,65,"['Action', 'Adventure']",PG-13,2h 21m,2023,"['Vin Diesel', 'Michelle Rodriguez', 'Tyrese Gibson', 'Ludacris', 'Jason Momoa']",['Louis Leterrier'],100345,1843942,1944287,0
On Sacred Ground,29,80,46,['Drama'],,2h 5m,2023,"['David Arquette', 'William Mapother', 'Amy Smart', 'Kerry Knuppe', 'Frances Fisher']","['Joshua Tickell', 'Rebecca Harrell Tickell']",429028,0,429028,5000000
Faraway,67,90,74,"['Romance', 'Comedy', 'Drama']",,1h 49m,2023,"['Naomi Krauss', 'Goran Bogdan', 'Adnan Maral', 'Artjom Gilz', 'Bahar Balci']",['Vanessa Jopp'],5743,0,5743,0
Doctor Jekyll,38,92,56,"['Drama', 'Horror', 'Mystery & Thriller']",,1h 29m,2023,"['Suzy Eddie Izzard', 'Scott Chambers', 'Lindsay Duncan', 'Robyn Cara', 'Jonathan Hyde']",['Joe Stephenson 2'],676407,0,676407,0
Live And Die In East LA,100,100,99,"['Crime', 'Drama', 'Mystery & Thriller']",,1h 23m,2023,"['Richard Cabral', 'Robert LaSardo', 'Cesar Garcia', 'Anita Korosi', 'Lee Coc']",['Attila Korosi'],132555,0,132555,0
Monsters of California,44,70,52,"['Sci-Fi', 'Action']",,1h 49m,2023,"['Jack Samson', 'Casper Van Dien', 'Camille Kostek', 'Richard Kind', 'Arianne Zucker']",['Tom Delonge'],39768000,0,39768000,0
Hot Potato: The Story of the Wiggles,100,96,98,"['Documentary', 'Kids & Family']",,1h 44m,2023,"['Anthony Field', 'Greg Page', 'Murray Cook', 'Jeff Fatt', 'Simon Pryce']",['Sally Aitken'],132555,0,132555,0
The Ritual Killer,10,19,13,"['Mystery & Thriller', 'Drama']",,1h 32m,2023,"['Morgan Freeman', 'Cole Hauser', 'Vernon Davis', 'Peter Stormare', 'Julie Lott']",['George Gallo'],53537919,51398177,104936096,0
There's Something Wrong with the Children,62,26,49,"['Horror', 'Mystery & Thriller']",,1h 32m,2023,"['Alisha Wainwright', 'Zach Gilford', 'Amanda Crew', 'Carlos Santos', 'Ramona Tyler']",['Roxanne Benjamin'],115000000,889,115000889,0
Stars Fell Again,40,71,50,"['Holiday', 'Romance', 'Comedy']",,1h 28m,2023,"['James Maslow', 'Ciara Hanna', 'Ali Faulkner', 'Drew Moerlein', 'Tom Connolly']",['Vw Scheich'],67544505,20670651,88215156,35000000
Metalocalypse: Army of the Doomstar,100,86,95,"['Animation', 'Comedy']",R,1h 23m,2023,"['Brendon Small', 'Tommy Blacha', 'Victor Brandt', 'Mark Hamill', 'Malcolm McDowell']",['Brendon Small'],132555,0,132555,0
Praise This,50,84,61,"['Musical', 'Comedy', 'Drama']",,1h 50m,2023,"['Chloe Bailey', 'Druski', 'Anjelika Washington', 'Tina Gordon', 'Brandon Broussard']",['Tina Gordon'],35014192,6083661,41097853,8000000
Elemental,74,93,80,"['Kids & Family', 'Comedy', 'Fantasy', 'Animation']",PG,1h 43m,2023,"['Leah Lewis', 'Mamoudou Athie', 'Ronnie del Carmen', 'Shila Ommi', 'Wendi McLendon-Covey']",['Peter Sohn'],95697,0,95697,0
Mercy,0,20,6,"['Action', 'Mystery & Thriller']",R,1h 25m,2023,"['Leah Gibson', 'Jonathan Rhys-Meyers', 'Jon Voight', 'Anthony Konechny', 'Sebastien Roberts']",['Tony Dean Smith'],0,0,0,0
Confidential Informant,0,45,15,"['Crime', 'Drama', 'Mystery & Thriller', 'Action']",R,1h 28m,2023,"['Dominic Purcell', 'Mel Gibson', 'Nick Stahl', 'Kate Bosworth', 'Arielle Raycene']",['Michael Oblowitz'],0,0,0,0
Transformers: Rise of the Beasts,52,91,65,"['Action', 'Adventure', 'Sci-Fi', 'Fantasy']",PG-13,2h 7m,2023,"['Anthony Ramos', 'Dominique Fishback', 'Ron Perlman', 'Michelle Yeoh', 'Pete Davidson']",['Steven Caple Jr'],37664,9174,46838,0
Being Mary Tyler Moore,97,74,89,"['Documentary', 'Biography']",,1h 59m,2023,"['Mary Tyler Moore', 'James L. Brooks', 'Rob Reiner', 'Treva Silverman', 'Beverly Sanders']",['James Adolphus'],519305,0,519305,0
The Persian Version,82,90,84,"['Comedy', 'Drama', 'LGBTQ+', 'Romance']",R,1h 47m,2023,"['Layla Mohammadi', 'Niousha Noor', 'Kamand Shafieisabet', 'Bijan Daneshmand', 'Bella Warda']",['Maryam Keshavarz'],829,0,829,0
Blue Giant,100,100,99,"['Drama', 'Music', 'Anime']",,2h 0m,2023,"['Yuki Yamada', 'Shôtarô Mamiya', 'Amane Okayama', 'Yuzuru Tachikawa', 'Shinichi Ishizuka']",['Yuzuru Tachikawa'],132555,0,132555,0
Expend4bles,14,71,33,"['Action', 'Adventure']",R,1h 43m,2023,"['Jason Statham', '50 Cent', 'Megan Fox', 'Dolph Lundgren', 'Tony Jaa']",['Scott Waugh'],325100054,424100000,749200054,175000000
Evil Dead Rise,84,76,81,"['Horror', 'Mystery & Thriller', 'Fantasy']",R,1h 36m,2023,"['Lily Sullivan', 'Alyssa Sutherland', 'Morgan Davies', 'Gabrielle Echols', 'Nell Fisher']",['Lee Cronin'],42027,0,42027,0
The Flood,33,24,30,"['Action', 'Mystery & Thriller']",R,1h 31m,2023,"['Casper Van Dien', 'Nicky Whelan', 'Louis Mandylor', 'Devanny Pinn', 'Randy Wayne']",['Undefined'],12227722,15744301,27972023,0
"Mission: Impossible - Dead Reckoning, Part One",96,94,95,"['Action', 'Adventure', 'Mystery & Thriller']",PG-13,2h 43m,2023,"['Tom Cruise', 'Hayley Atwell', 'Ving Rhames', 'Simon Pegg', 'Rebecca Ferguson']",['Christopher Mcquarrie'],616333,0,616333,0
Inside,62,40,54,['Drama'],R,1h 45m,2023,"['Willem Dafoe', 'Gene Bervoets', 'Eliza Stuyck', 'Daniel White', 'Josia Krug']",['Vasilis Katsoupis'],115000000,889,115000889,0
The Wrath of Becky,86,77,83,"['Action', 'Mystery & Thriller', 'Horror']",R,1h 23m,2023,"['Lulu Wilson', 'Seann William Scott', 'Denise Burse', 'Jill Larson', 'Courtney Gains']","['Matt Angel', 'Suzanne Coote']",130319208,100366245,230685453,80000000
Mother's Day,43,35,40,"['Drama', 'Mystery & Thriller', 'Action']",,1h 34m,2023,"['Agnieszka Grochowska', 'Dariusz Chojnacki', 'Adrian Delikta', 'Jowita Miondlikowska', 'Ewa Rodart']",['Mateusz Rakowicz'],8840453,23602658,32443111,6000000
Nanpakal Nerathu Mayakkam,83,89,85,['Drama'],,1h 45m,2023,"['Mammootty', 'Ramya Pandian', 'Ashwanth Ashokkumar', 'Pramod Shetty', 'Ashokan']",['Lijo Jose Pellissery'],4055660,3295401,7351061,0
Zombie Town,60,59,59,"['Holiday', 'Fantasy', 'Comedy']",PG-13,1h 34m,2023,"['Marlon Kazadi', 'Madi Monroe', 'Dan Aykroyd', 'Chevy Chase', 'Henry Czerny']",['770922075'],101648571,135553728,237202299,90000000
Sweetwater,26,95,49,"['Biography', 'Drama', 'Sports']",PG-13,1h 54m,2023,"['Everett Osborne', 'Kevin Pollak', 'Jeremy Piven', 'Cary Elwes', 'Richard Dreyfuss']",['Martin Guigui'],647074,0,647074,0
Anthem,63,17,47,"['Documentary', 'Music', 'History']",PG,1h 38m,2023,"['Kris Bowers', 'Joy Harjo', 'Ruby Amanfu', 'DJ Dahi', 'Charity Bowden']",['Peter Nicks'],2689252,0,2689252,0
Anna Nicole Smith: You Don't Know Me,38,53,43,"['Biography', 'Documentary']",,1h 57m,2023,"['Anna Nicole Smith', 'Ursula Macfarlane', 'Alexandra Lacey', 'Ben Silverman', 'Howard T. Owens']",['Ursula Macfarlane'],676407,0,676407,0
The Devil's Left Hand,100,86,95,"['Horror', 'Mystery & Thriller']",,1h 38m,2023,"['Laurene Landon', 'Yan Birch', 'Kaiti Wallen', 'Aphrodite Nikolovski', 'Harley Wallen']",['Harley Wallen'],132555,0,132555,0
Born to Fly,50,91,63,"['Action', 'Drama']",,2h 8m,2023,"['Yibo Wang', 'Jun Hu', 'Yu Shi', 'Zhou Dongyu', 'Liu Xiaoshi']",['Liu Xiaoshi'],35014192,6083661,41097853,8000000
Peter Pan & Wendy,64,11,46,"['Kids & Family', 'Fantasy', 'Adventure']",PG,1h 46m,2023,"['Alexander Molony', 'Ever Anderson', 'Jude Law', 'Alyssa Wapanatâhk', 'Jim Gaffigan']",['David Lowery'],470308,0,470308,0
Chris Fleming: HELL,80,80,80,"['Comedy', 'Stand-Up']",,1h 9m,2023,"['Chris Fleming', 'Cat Solen', 'Chris Fleming', 'Morgan Howard', 'Michaela Ford']",['Cat Solen'],0,0,0,0
"Mother, May I?",85,63,77,"['Horror', 'Mystery & Thriller']",,1h 39m,2023,"['Holland Roden', 'Kyle Gallner', 'Chris Mulkey', 'Daphne Gaines', 'Michael Giannone']",['Laurence Vannicelli'],9369329,0,9369329,0
Dicks: The Musical,69,67,68,"['Musical', 'Comedy']",R,1h 26m,2023,"['Megan Mullally', 'Nathan Lane', 'Megan Thee Stallion', 'Bowen Yang', 'Aaron Jackson']",['Larry Charles'],100489151,0,100489151,0
Dog Gone,41,70,50,"['Kids & Family', 'Drama']",TVPG,1h 34m,2023,"['Johnny Berchtold', 'Rob Lowe', 'Kimberly Williams-Paisley', 'Susan Gallagher', 'Nick Peine']",['Stephen Herek'],31445012,28500000,59945012,35000000
Take Care of Maya,92,95,93,['Documentary'],,1h 43m,2023,"['Henry Roosevelt', 'Caitlin Keating', 'Jon Bardin', 'Kate Barry', 'Dan Cogan']",['Henry Roosevelt'],50410,0,50410,0
Sleep,92,100,94,"['Mystery & Thriller', 'Horror', 'Comedy']",,1h 35m,2023,"['Jung Yu-mi', 'Lee Sun-kyun', 'Jason Yu', 'Jason Yu', 'Lewis Taewan Kim']",['Jason Yu'],50410,0,50410,0
Guy Ritchie's The Covenant,83,98,88,"['War', 'Drama', 'Action', 'Crime', 'Mystery & Thriller']",R,2h 3m,2023,"['Jake Gyllenhaal', 'Dar Salim', 'Antony Starr', 'Alexander Ludwig', 'Bobby Schofield']",['Guy Ritchie'],4055660,3295401,7351061,0
Love Again,27,91,48,"['Romance', 'Comedy']",PG-13,1h 44m,2023,"['Priyanka Chopra Jonas', 'Sam Heughan', 'Céline Dion', 'Russell Tovey', 'Steve Oram']",['Jim Strouse'],76808654,85846697,162655351,30000000
The Magician's Elephant,65,83,71,"['Kids & Family', 'Adventure', 'Animation']",PG,1h 43m,2023,"['Noah Jupe', 'Mandy Patinkin', 'Brian Tyree Henry', 'Sian Clifford', 'Benedict Wong']",['Wendy Rogers'],32062904,28667664,60730568,0
Summer with the Guys,100,100,99,['Comedy'],,1h 28m,2023,"['Terrence Green', 'Brashaad Mayweather', 'James Hal Hardy', 'Brannon ""B Watts"" Watson', 'Lina Outler']",['Terrence Green'],132555,0,132555,0
The Locksmith,32,58,40,"['Mystery & Thriller', 'Action']",,1h 32m,2023,"['Ryan Phillippe', 'Kate Bosworth', 'Ving Rhames', 'Jeffrey Nordling', 'Gabriela Quezada']",['Nicolas Harvard'],145658,0,145658,0
Shooting Stars,53,69,58,"['Biography', 'Drama', 'Sports']",PG-13,1h 55m,2023,"['Wood Harris', 'Marquis Mookie Cook', 'Caleb McLaughlin', 'Natalie Paul', 'Algee Smith']",['Chris Robinson 5'],315497,0,315497,0
Ghosted,26,56,36,"['Action', 'Romance', 'Adventure']",PG-13,1h 56m,2023,"['Chris Evans', 'Ana de Armas', 'Adrien Brody', 'Mike Moh', 'Amy Sedaris']",['Dexter Fletcher'],647074,0,647074,0
Oppenheimer,93,91,92,"['History', 'Drama', 'Biography']",R,3h 0m,2023,"['Cillian Murphy', 'Emily Blunt', 'Robert Downey Jr.', 'Matt Damon', 'Rami Malek']",['Christopher Nolan'],31483450,45217209,76700659,15000000
Bottoms,90,89,89,"['Comedy', 'LGBTQ+']",R,1h 28m,2023,"['Rachel Sennott', 'Ayo Edebiri', 'Havana Rose Liu', 'Kaia Gerber', 'Nicholas Galitzine']",['Emma Seligman 2'],7362439,1940583,9303022,0
Missing,88,90,88,['Mystery & Thriller'],PG-13,1h 51m,2023,"['Storm Reid', 'Joaquim de Almeida', 'Ken Leung', 'Amy Landecker', 'Daniel Henney']","['Will Merrick', 'Nick Johnson']",13110903,0,13110903,0
The Channel,57,86,66,"['Action', 'Crime', 'Drama', 'Mystery & Thriller']",,1h 35m,2023,"['Clayne Crawford', 'Max Martini', 'Nicoye Banks', 'Juliene Joyner', 'Paul Rae']",['William Kaufman'],347839,0,347839,0
The Secret Kingdom,63,59,61,"['Kids & Family', 'Fantasy', 'Adventure']",PG,1h 38m,2023,"['Sam Everingham', 'Alyla Browne', 'Alice Parkinson', 'Chris Gabardi', 'Darius Williams']",['Matt Drummond'],2689252,0,2689252,0
Bless Me Father,100,99,99,"['Crime', 'Drama', 'Mystery & Thriller']",,1h 31m,2023,"['Gianni McLaughlin', 'Paris Branda', 'Giacomo Vanacore', 'Joseph McLaughlin', 'Lorenzo Landi']",['Gianni Mclaughlin'],132555,0,132555,0
Ant-Man and The Wasp: Quantumania,46,82,58,"['Action', 'Adventure', 'Fantasy', 'Comedy']",PG-13,2h 4m,2023,"['Paul Rudd', 'Evangeline Lilly', 'Jonathan Majors', 'Bill Murray', 'Kathryn Newton']",['Silencio Por Favor'],285585,600433,886018,0
The Wandering Earth II,80,97,85,"['Sci-Fi', 'Action', 'Adventure']",,2h 53m,2023,"['Andy Lau', 'Jing Wu', 'Xuejian Li', 'Yi Sha', 'Li Ning']",['Guo Fan'],24008137,48170758,72178895,110000000
Strange Way of Life,75,68,72,"['Western', 'LGBTQ+', 'Short']",R,31m,2023,"['Ethan Hawke', 'Pedro Pascal', 'José Condessa', 'Manu Rios', 'Pedro Casablanc']",['Pedro Almodovar'],0,0,0,0
Run Rabbit Run,37,26,33,"['Horror', 'Mystery & Thriller']",,1h 40m,2023,"['Sarah Snook', 'Lily LaTorre', 'Greta Scacchi', 'Damon Herriman', 'Julia Davis']",['Daina Reid'],446125,0,446125,0
Joy Ride,91,82,88,['Comedy'],R,1h 35m,2023,"['Stephanie Hsu', 'David Denman', 'Ashley Park', 'Annie Mumolo', 'Sherry Cola']",['Adele Lim'],6735922,0,6735922,0
PAW Patrol: The Mighty Movie,74,94,80,"['Kids & Family', 'Comedy', 'Adventure', 'Animation']",PG,1h 32m,2023,"['Kristen Bell', 'James Marsden', 'Mckenna Grace', 'Taraji P. Henson', 'Marsai Martin']",['Cal Brunker'],95697,0,95697,0
Buck Alamo or (A Phantasmagorical Ballad),100,100,99,"['Drama', 'Western']",,1h 20m,2023,"['Sonny Carl Davis', 'Lorelei Linklater', 'Lee Eddy', 'Bruce Dern', 'Chase Joliet']",['Benjamin Epstein'],132555,0,132555,0
Book Club: The Next Chapter,47,84,59,['Comedy'],PG-13,1h 47m,2023,"['Diane Keaton', 'Jane Fonda', 'Candice Bergen', 'Mary Steenburgen', 'Andy Garcia']",['Bill Holderman'],38362475,113421364,151783839,175000000
Awareness,13,47,24,"['Sci-Fi', 'Mystery & Thriller']",,1h 52m,2023,"['Carlos Scholz', 'Pedro Alonso', 'María Pedraza', 'Óscar Jaenada', 'Lela Loren']",['Daniel Benmayor'],52853219,16558151,69411370,50000000
Mob Land,50,77,58,"['Action', 'Mystery & Thriller', 'Crime']",R,1h 52m,2023,"['John Travolta', 'Stephen Dorff', 'Shiloh Fernandez', 'Ashley Benson', 'Kevin Dillon']",['Nicholas Maggio'],35014192,6083661,41097853,8000000
The Starling Girl,92,98,94,['Drama'],R,1h 56m,2023,"['Eliza Scanlen', 'Lewis Pullman', 'Jimmi Simpson', 'Wrenn Schmidt', 'Claire Elizabeth Green']",['Laurel Parmet'],50410,0,50410,0
Cassandro,91,76,86,"['Drama', 'Biography', 'Comedy', 'LGBTQ+']",R,1h 47m,2023,"['Gael García Bernal', 'Roberta Colindrez', 'Perla De La Rosa', 'Joaquín Cosio', 'Raúl Castillo']",['Roger Ross Williams'],6735922,0,6735922,0
Solo,100,100,99,"['Romance', 'Drama', 'LGBTQ+']",,1h 43m,2023,"['Théodore Pellerin', 'Félix Maritaud', 'Vlad Alexis', 'Anne-Marie Cadieux', 'Jean Marchand']",['Sophie Dupuis'],132555,0,132555,0
John Wick: Chapter 4,94,93,93,['Action'],R,2h 49m,2023,"['Keanu Reeves', 'Donnie Yen', 'Bill Skarsgård', 'Laurence Fishburne', 'Hiroyuki Sanada']",['Chad Stahelski'],673151,101629,774780,0
Smoke Sauna Sisterhood,100,78,92,['Documentary'],,1h 29m,2023,"['Kadi Kivilo', 'Anna Hints', 'Anna Hints', 'Marianne Ostrat', 'Ants Tammik']",['Anna Hints'],132555,0,132555,0
Barbie,88,83,86,['Comedy'],PG-13,1h 54m,2023,"['Margot Robbie', 'Ryan Gosling', 'America Ferrera', 'Kate McKinnon', 'Issa Rae']",['Greta Gerwig'],13110903,0,13110903,0
The Out-Laws,21,36,26,"['Comedy', 'Crime']",R,1h 35m,2023,"['Adam DeVine', 'Pierce Brosnan', 'Ellen Barkin', 'Nina Dobrev', 'Michael Rooker']",['Tyler Spindel'],81159365,78649005,159808370,35000000
Scrapper,93,82,89,"['Comedy', 'Drama']",,1h 24m,2023,"['Lola Campbell', 'Alin Uzun', 'Harris Dickinson', 'Ambreen Razia', 'Olivia Brady']",['Charlotte Regan'],31483450,45217209,76700659,15000000
Air,93,98,94,"['Drama', 'Sports']",R,1h 52m,2023,"['Matt Damon', 'Ben Affleck', 'Jason Bateman', 'Viola Davis', 'Chris Messina']",['Ben Affleck'],31483450,45217209,76700659,15000000
Freelance,0,76,25,"['Action', 'Comedy']",R,1h 49m,2023,"['John Cena', 'Alison Brie', 'Juan Pablo Raba', 'Christian Slater', 'Alice Eve']",['Pierre Morel'],0,0,0,0
Summoning Sylvia,100,87,95,"['Comedy', 'Horror', 'LGBTQ+']",R,1h 14m,2023,"['Travis Coles', 'Michael Urie', 'Frankie Grande', 'Nicholas Logan', 'Troy Iwata']","['Wesley Taylor', 'Alex Wyse']",132555,0,132555,0
Fool's Paradise,18,38,24,['Comedy'],R,1h 37m,2023,"['Charlie Day', 'Ken Jeong', 'Kate Beckinsale', 'Adrien Brody', 'Jason Sudeikis']",['Charlie Day'],0,0,0,0
The Inventor,74,59,69,"['Kids & Family', 'Adventure', 'Comedy', 'Animation']",PG,1h 32m,2023,"['Stephen Fry', 'Daisy Ridley', 'Marion Cotillard', 'Matt Berry', 'Natalie Palamides']","['Jim Capobianco', 'Pierre Luc Granjon']",95697,0,95697,0
Hungry Dog Blues,100,88,95,['Mystery & Thriller'],,1h 15m,2023,"['Amy Hargreaves', 'Irina Gorovaia', 'Jason Abrams', 'C.J. Wilson', 'Seth Austin']",['Jason Abrams 2'],132555,0,132555,0
The Good Mother,21,35,25,"['Mystery & Thriller', 'Crime', 'Drama']",R,1h 29m,2023,"['Hilary Swank', 'Olivia Cooke', 'Jack Reynor', 'Norm Lewis', 'Dilone']",['Miles Joris Peyrafitte'],81159365,78649005,159808370,35000000
Everything Will Be Fine in the End,100,97,98,"['Comedy', 'Crime', 'Drama']",,1h 37m,2023,"['Kent Harper', 'Holly Rockwell', 'Elsa Kennedy', 'Cheska Zaide', 'Turen Robinson']",['Joe Bartone'],132555,0,132555,0
Finding Michael,67,66,66,"['Documentary', 'Adventure']",,1h 40m,2023,"['Bear Grylls', 'Tom Hutchings', 'Jon Swain', 'Vogue Williams', 'Nirmal Purja']",['Tom Beard'],5743,0,5743,0
The Best Man,33,22,29,"['Action', 'Mystery & Thriller']",R,1h 33m,2023,"['Brendan Fehr', 'Dolph Lundgren', 'Luke Wilson', 'Nicky Whelan', 'Scout Taylor-Compton']",['Shane Dax Taylor'],12227722,15744301,27972023,0
"Bono & The Edge: A Sort of Homecoming, with Dave Letterman",100,89,96,"['Documentary', 'Music']",TV14,1h 24m,2023,"['Bono', 'The Edge', 'David Letterman', 'Morgan Neville', 'Seamus Murphy-Mitchell']",['Morgan Neville'],132555,0,132555,0
Happiness for Beginners,33,53,39,"['Romance', 'Comedy', 'Drama']",,1h 43m,2023,"['Ellie Kemper', 'Luke Grimes', 'Gus Birney', 'Nico Santos', 'Alexander Koch']",['Vicky Wight'],12227722,15744301,27972023,0
Til Death Do Us Part,41,50,44,"['Horror', 'Action', 'Mystery & Thriller']",,1h 49m,2023,"['Cam Gigandet', 'Jason Patric', 'Natalie Burn', 'Nikki Arlyn', ""Ser'Darius Blain""]","['Timothy Woodward Jr', 'Shane Dax Taylor']",31445012,28500000,59945012,35000000
The Miracle Club,66,83,71,"['Comedy', 'Drama']",PG-13,1h 31m,2023,"['Laura Linney', 'Kathy Bates', 'Maggie Smith', ""Agnes O'Casey"", ""Mark O'Halloran""]",['Thaddeus Osullivan'],224614,1705519,1930133,0
Waltair Veerayya,80,81,80,"['Action', 'Drama']",,2h 30m,2023,"['Shruti K. Haasan', 'Chiranjeevi', 'Ravi Teja', 'Nivetha Pethuraj', 'Rajendra Prasad']",['Ks Ravindra'],0,0,0,0
Spider-Man: Across the Spider-Verse,96,94,95,"['Kids & Family', 'Action', 'Adventure', 'Comedy', 'Fantasy', 'Animation']",PG,2h 20m,2023,"['Shameik Moore', 'Hailee Steinfeld', 'Oscar Isaac', 'Jake Johnson', 'Issa Rae']","['Joaquim Dos Santos', 'Kemp Powers', 'Justin K Thompson']",616333,0,616333,0
Legion of Super-Heroes,60,60,60,"['Action', 'Adventure', 'Animation']",PG-13,1h 23m,2023,"['Meg Donnelly', 'Harry Shum Jr.', 'Darren Criss', 'Matt Bomer', 'Jensen Ackles']",['Jeff Wamester'],101648571,135553728,237202299,90000000
The Crusades,18,91,42,"['Comedy', 'Romance']",,1h 20m,2023,"['Rudy Pankow', 'Khalil Everage', 'Indiana Massara', 'Ryan Ashton', 'Ashley Nicole Williams']",['Leo Milano'],0,0,0,0
Common Ground,70,100,80,"['Documentary', 'Nature']",,1h 45m,2023,"['Laura Dern', 'Jason Momoa', 'Rosario Dawson', 'Woody Harrelson', 'Ian Somerhalder']","['Joshua Tickell', 'Rebecca Harrell Tickell']",2540965,166872,2707837,0
Hell House LLC Origins: The Carmichael Manor,83,86,84,['Horror'],,1h 37m,2023,"['James Liddell', 'Gideon Berger', 'Darin F. Earl II', 'Searra Sawka', 'Joe Bandelli']",['Stephen Cognetti'],4055660,3295401,7351061,0
Deadland,80,100,86,['Mystery & Thriller'],,1h 31m,2023,"['Roberto Urbina', 'McCaul Lombardi', 'Julieth Restrepo', 'Kendal Rae', 'Luis Chávez']",['Lance Larson'],0,0,0,0
Dark Windows,43,82,56,"['Horror', 'Mystery & Thriller']",,1h 20m,2023,"['Anna Bullard', 'Annie Hamilton', 'Rory Alexander', 'Jóel Sæmundsson', 'Morten Holst']",['Alex Herron'],8840453,23602658,32443111,6000000
Hunger,87,64,79,['Drama'],,2h 10m,2023,"['Chutimon Chuengcharoensukying', 'Nopachai Jayanama', 'Gunn Svasti Na Ayudhya', 'Sitisiri Mongkolsiri', 'Kongdej Jaturanrasamee']",['Sitisiri Mongkolsiri'],24207,0,24207,0
Wild Beauty: Mustang Spirit of the West,92,97,93,"['Documentary', 'Nature']",,1h 39m,2023,"['Ashley Avis', 'Ashley Avis', 'Ashley Avis', 'Ashley Avis', 'Ashley Avis']",['Ashley Avis'],50410,0,50410,0
Glitch: The Rise & Fall of HQ Trivia,88,78,84,['Documentary'],TVMA,1h 29m,2023,"['Salima Koroma', 'Ken Druckerman', 'Banks Tarver', 'Amy Entelis', 'Courtney Sexton']",['Salima Koroma'],13110903,0,13110903,0
The Slumber Party,100,77,92,"['Kids & Family', 'Comedy']",,1h 22m,2023,"['Darby Camp', 'Emmy Liu-Wang', 'Valentina Herrera', 'Dallas Liu', 'Alex Cooper Cohen']",['Veronica Rodriguez 7'],132555,0,132555,0
Condition of Return,63,93,73,"['Drama', 'Mystery & Thriller']",,1h 35m,2023,"['AnnaLynne McCord', 'Dean Cain', 'Natasha Henstridge', 'James Russo', 'Ryan Bates']",['Tommy Stovall'],2689252,0,2689252,0
Chupa,68,58,64,"['Kids & Family', 'Adventure', 'Fantasy']",PG,1h 35m,2023,"['Demián Bichir', 'Evan Whitten', 'Christian Slater', 'Ashley Ciarra', 'Nickolas Verdugo']",['Jonas Cuaron'],0,0,0,0
Puppy Love,45,90,60,"['Romance', 'Comedy']",R,1h 20m,2023,"['Lucy Hale', 'Grant Gustin', 'Jane Seymour', 'Michael Hitchcock', 'Nore Davis']","['Richard Alan Reid', 'Nicholas Fabiano']",171339,0,171339,0
The Mother,43,62,49,"['Action', 'Mystery & Thriller']",R,1h 56m,2023,"['Jennifer Lopez', 'Joseph Fiennes', 'Gael García Bernal', 'Omari Hardwick', 'Paul Raci']",['Niki Caro'],8840453,23602658,32443111,6000000
Poisoned: The Dirty Truth About Your Food,100,71,90,['Documentary'],,1h 23m,2023,"['Darin Detwiler', 'Stephanie Soechtig', 'Jeff Benedict', 'Jeff Benedict', 'Ross Girard']",['Stephanie Soechtig'],132555,0,132555,0
Killers of the Flower Moon,93,84,90,"['Crime', 'Drama']",R,3h 26m,2023,"['Leonardo DiCaprio', 'Robert De Niro', 'Jesse Plemons', 'Lily Gladstone', 'Tantoo Cardinal']",['Martin Scorsese'],31483450,45217209,76700659,15000000
Murder Mystery 2,45,46,45,"['Comedy', 'Mystery & Thriller', 'Action', 'Crime']",PG-13,1h 30m,2023,"['Adam Sandler', 'Jennifer Aniston', 'Mark Strong', 'Adeel Akhtar', 'Tony Goldwyn']",['Jeremy Garelick'],171339,0,171339,0
True Spirit,79,72,76,"['Drama', 'Biography']",TVPG,1h 49m,2023,"['Teagan Croft', 'Cliff Curtis', 'Anna Paquin', 'Josh Lawson', 'Todd Lasance']",['Sarah Spillane'],5696391,0,5696391,0
Condor's Nest,40,57,45,"['Action', 'War']",R,1h 43m,2023,"['Jacob Keohane', 'Al Pagano', 'Corinne Britti', 'James Urbaniak', 'Jackson Rathbone']",['Phil Blattenberger'],67544505,20670651,88215156,35000000
The Last Night of Amore,100,100,99,['Mystery & Thriller'],,2h 4m,2023,"['Pierfrancesco Favino', 'Linda Caridi', 'Antonio Gerardi', 'Francesco Di Leva', 'Camilla Semino Favro']",['Andrea Di Stefano'],132555,0,132555,0
The Burial,91,83,88,['Drama'],R,2h 6m,2023,"['Tommy Lee Jones', 'Jamie Foxx', 'Jurnee Smollett', 'Mamoudou Athie', 'Pamela Reed']",['Maggie Betts'],6735922,0,6735922,0
Stan Lee,81,84,82,"['Documentary', 'Biography']",,1h 26m,2023,"['Stan Lee', 'David Gelb', 'Jason Sterman', 'David Gelb', 'Brian McGinn']",['David Gelb'],676631,0,676631,0
Desperation Road,69,86,74,"['Action', 'Mystery & Thriller']",R,1h 52m,2023,"['Garrett Hedlund', 'Willa Fitzgerald', 'Mel Gibson', 'Ryan Hurst', 'Woody McClain']",['Nadine Nicole Crocker'],100489151,0,100489151,0
