Year,Rank,Release Group,Worldwide,Domestic,Domestic %,Foreign,Foreign %
2021,198,Judas and the Black Messiah,"$7,478,009","$5,478,009",73.3%,"$2,000,000",26.7%
2021,199,Love Letter 2021 Re-release,"$7,400,000",-,-,"$7,400,000",100%
2021,200,Signal: The Movie,"$7,388,603",-,-,"$7,388,603",100%
2022,1,Avatar: The Way of Water,"$2,320,250,281","$684,075,767",29.5%,"$1,636,174,514",70.5%
2022,2,Top Gun: Maverick,"$1,495,696,292","$718,732,821",48.1%,"$776,963,471",51.9%
2022,3,Jurassic World Dominion,"$1,001,978,080","$376,851,080",37.6%,"$625,127,000",62.4%
2022,4,Doctor Strange in the Multiverse of Madness,"$955,775,804","$411,331,607",43%,"$544,444,197",57%
2022,5,Minions: The Rise of Gru,"$939,628,210","$369,695,210",39.3%,"$569,933,000",60.7%
2022,6,Black Panther: Wakanda Forever,"$859,208,836","$453,829,060",52.8%,"$405,379,776",47.2%
2022,7,The Batman,"$772,245,583","$369,345,583",47.8%,"$402,900,000",52.2%
2022,8,Thor: Love and Thunder,"$760,928,081","$343,256,830",45.1%,"$417,671,251",54.9%
2022,9,Water Gate Bridge,"$626,571,697","$117,294",<0.1%,"$626,454,403",100%
2022,10,Puss in Boots: The Last Wish,"$481,079,705","$185,535,345",38.6%,"$295,544,360",61.4%
2022,11,Moon Man,"$460,237,662",-,-,"$460,237,662",100%
2022,12,Fantastic Beasts: The Secrets of Dumbledore,"$407,150,844","$95,850,844",23.5%,"$311,300,000",76.5%
2022,13,Uncharted,"$407,141,258","$148,648,820",36.5%,"$258,492,438",63.5%
2022,14,Sonic the Hedgehog 2,"$405,421,518","$190,872,904",47.1%,"$214,548,614",52.9%
2022,15,Black Adam,"$393,252,111","$168,152,111",42.8%,"$225,100,000",57.2%
2022,16,Elvis,"$287,740,048","$151,040,048",52.5%,"$136,700,000",47.5%
2022,17,The Bad Guys,"$250,162,278","$97,233,630",38.9%,"$152,928,648",61.1%
2022,18,Bullet Train,"$239,268,602","$103,368,602",43.2%,"$135,900,000",56.8%
2022,19,Lightyear,"$226,425,420","$118,307,188",52.2%,"$108,118,232",47.8%
2022,20,Smile,"$217,408,513","$105,935,048",48.7%,"$111,473,465",51.3%
2022,21,Too Cool to Kill,"$217,254,604","$185,882",<0.1%,"$217,068,722",99.9%
2022,22,Nice View,"$211,019,042",-,-,"$211,019,042",100%
2022,23,DC League of Super-Pets,"$207,557,117","$93,657,117",45.1%,"$113,900,000",54.9%
2022,24,The Lost City,"$192,907,684","$105,344,029",54.6%,"$87,563,655",45.4%
2022,25,M3GAN,"$179,973,454","$95,043,350",52.8%,"$84,930,104",47.2%
2022,26,Suzume,"$175,490,290","$10,930,103",6.2%,"$164,560,187",93.8%
2022,27,Nope,"$171,235,592","$123,277,080",72%,"$47,958,512",28%
2022,28,One Piece Film: Red,"$169,184,590","$12,775,324",7.6%,"$156,409,266",92.4%
2022,29,Ticket to Paradise,"$168,767,479","$68,275,985",40.5%,"$100,491,494",59.5%
2022,30,Morbius,"$167,460,961","$73,865,530",44.1%,"$93,595,431",55.9%
2022,31,RRR,"$165,955,146","$14,500,000",8.7%,"$151,455,146",91.3%
2022,32,The Black Phone,"$161,440,742","$90,123,230",55.8%,"$71,317,512",44.2%
2022,33,The First Slam Dunk,"$152,408,567","$1,291,869",0.8%,"$151,116,698",99.2%
2022,34,Where the Crawdads Sing,"$144,353,965","$90,230,760",62.5%,"$54,123,205",37.5%
2022,35,Everything Everywhere All at Once,"$139,400,280","$77,191,785",55.4%,"$62,208,495",44.6%
2022,36,Scream,"$137,743,924","$81,641,405",59.3%,"$56,102,519",40.7%
2022,37,Death on the Nile,"$137,307,235","$45,630,104",33.2%,"$91,677,131",66.8%
2022,38,A Man Called Otto,"$113,190,218","$64,267,657",56.8%,"$48,922,561",43.2%
2022,39,"Lyle, Lyle, Crocodile","$110,999,085","$46,888,441",42.2%,"$64,110,644",57.8%
2022,40,Halloween Ends,"$104,362,940","$64,079,860",61.4%,"$40,283,080",38.6%
2022,41,The Roundup,"$101,166,707","$812,859",0.8%,"$100,353,848",99.2%
2022,42,The Woman King,"$93,279,806","$67,328,130",72.2%,"$25,951,676",27.8%
2022,43,Downton Abbey: A New Era,"$92,651,384","$44,141,550",47.6%,"$48,509,834",52.4%
2022,44,K.G.F: Chapter 2,"$89,123,940","$2,874,000",3.2%,"$86,249,940",96.8%
2022,45,Don't Worry Darling,"$87,609,403","$45,309,403",51.7%,"$42,300,000",48.3%
2022,46,Dragon Ball Super: Super Hero,"$86,562,140","$38,112,140",44%,"$48,450,000",56%
2022,47,Dog,"$84,774,243","$61,778,069",72.9%,"$22,996,174",27.1%
2022,48,Jackass Forever,"$80,563,999","$57,743,451",71.7%,"$22,820,548",28.3%
2022,49,The Menu,"$79,628,200","$38,501,125",48.4%,"$41,127,075",51.6%
2022,50,Chebi: My Fluffy Friend,"$76,453,705",-,-,"$76,453,705",100%
2022,51,Avatar 2022  Re-release,"$76,012,917","$24,714,024",32.5%,"$51,298,893",67.5%
2022,52,Violent Night,"$76,004,405","$50,057,405",65.9%,"$25,947,000",34.1%
2022,53,Strange World,"$73,621,640","$37,968,963",51.6%,"$35,652,677",48.4%
2022,54,Detective Conan: The Bride of Halloween,"$72,635,796",-,-,"$72,635,796",100%
2022,55,The Northman,"$69,633,110","$34,233,110",49.2%,"$35,400,000",50.8%
2022,56,Moonfall,"$67,295,363","$19,060,660",28.3%,"$48,234,703",71.7%
2022,57,Babylon,"$63,351,455","$15,351,455",24.2%,"$48,000,000",75.8%
2022,58,Whitney Houston: I Wanna Dance with Somebody,"$59,806,881","$23,708,080",39.6%,"$36,098,801",60.4%
2022,59,Beast,"$59,095,809","$31,846,530",53.9%,"$27,249,279",46.1%
2022,60,The Whale,"$54,883,206","$17,463,630",31.8%,"$37,419,576",68.2%
2022,61,Confidential Assignment 2: International,"$54,486,330",-,-,"$54,486,330",100%
2022,62,Ambulance,"$52,300,984","$22,781,115",43.6%,"$29,519,869",56.4%
2022,63,Marry Me,"$50,477,597","$22,438,180",44.5%,"$28,039,417",55.5%
2022,64,Brahmastra Part One: Shiva,"$50,164,785","$7,839,108",15.6%,"$42,325,677",84.4%
2022,65,The Banshees of Inisherin,"$49,262,687","$10,582,266",21.5%,"$38,680,421",78.5%
2022,66,The Fabelmans,"$45,630,482","$17,348,945",38%,"$28,281,537",62%
2022,67,Barbarian,"$45,352,337","$40,842,944",90.1%,"$4,509,393",9.9%
2022,68,Prey for the Devil,"$44,658,929","$19,802,293",44.3%,"$24,856,636",55.7%
2022,69,Paws of Fury: The Legend of Hank,"$42,431,358","$17,811,382",42%,"$24,619,976",58%
2022,70,The Invitation,"$38,036,130","$25,100,080",66%,"$12,936,050",34%
2022,71,Orphan: First Kill,"$37,083,743","$5,413,227",14.6%,"$31,670,516",85.4%
2022,72,Kingdom II: Harukanaru Daichi e,"$34,963,395",-,-,"$34,963,395",100%
2022,73,Roald Dahl's Matilda the Musical,"$34,706,541",-,-,"$34,706,541",100%
2022,74,The Bob's Burgers Movie,"$34,148,750","$31,933,830",93.5%,"$2,214,920",6.5%
2022,75,Skyfall 2021 Re-release,"$33,910,282",-,-,"$33,910,282",100%
2022,76,Hunt,"$33,821,338","$25,994",<0.1%,"$33,795,344",99.9%
2022,77,Tad the Lost Explorer and the Emerald Tablet,"$32,849,430","$67,599",0.2%,"$32,781,831",99.8%
2022,78,BTS Permission to Dance on Stage - Seoul: Live Viewing,"$32,600,000","$6,840,000",21%,"$25,760,000",79%
2022,79,Shin Ultraman,"$32,126,536","$601,490",1.9%,"$31,525,046",98.1%
2022,80,Amsterdam,"$31,245,810","$14,947,969",47.8%,"$16,297,841",52.2%
2022,81,Mrs. Harris Goes to Paris,"$30,938,456","$10,433,915",33.7%,"$20,504,541",66.3%
2022,82,Vikram,"$29,837,637","$1,770,000",5.9%,"$28,067,637",94.1%
2022,83,The Unbearable Weight of Massive Talent,"$29,116,320","$20,300,157",69.7%,"$8,816,163",30.3%
2022,84,Tár,"$29,032,484","$6,773,650",23.3%,"$22,258,834",76.7%
2022,85,The 355,"$27,827,745","$14,570,455",52.4%,"$13,257,290",47.6%
2022,86,Serial (Bad) Weddings 3,"$27,730,744",-,-,"$27,730,744",100%
2022,87,The Night Owl,"$26,719,364",-,-,"$26,719,364",100%
2022,88,Triangle of Sadness,"$26,214,659","$4,608,096",17.6%,"$21,606,563",82.4%
2022,89,Calendar Girls,"$25,433,615",-,-,"$25,433,615",100%
2022,90,The Kashmir Files,"$24,821,898","$1,485,000",6%,"$23,336,898",94%
2022,91,Hero,"$24,392,492",-,-,"$24,392,492",100%
2022,92,Harry Potter and the Chamber of Secrets 2022 Re-release,"$24,006,144",-,-,"$24,006,144",100%
2022,93,The Last 10 Years,"$23,699,624",-,-,"$23,699,624",100%
2022,94,The Confidence Man JP: Episode of the Hero,"$23,214,581",-,-,"$23,214,581",100%
2022,95,The Witch: Part 2 - The Other One,"$23,068,596","$143,723",0.6%,"$22,924,873",99.4%
2022,96,Decision to Leave,"$22,581,906","$2,179,864",9.7%,"$20,402,042",90.3%
2022,97,Harry Potter and the Chamber of Secrets 2021 Re-release,"$22,349,685","$191,501",0.9%,"$22,158,184",99.1%
2022,98,6/45,"$22,263,336",-,-,"$22,263,336",100%
2022,99,Doraemon the Movie: Nobita's Little Star Wars 2021,"$22,044,058",-,-,"$22,044,058",100%
2022,100,See How They Run,"$21,966,634","$9,586,237",43.6%,"$12,380,397",56.4%
2022,101,Ponniyin Selvan: Part I,"$21,888,295","$4,282,000",19.6%,"$17,606,295",80.4%
2022,102,Devotion,"$21,768,133","$20,511,938",94.2%,"$1,256,195",5.8%
2022,103,Silent Parade,"$21,723,595",-,-,"$21,723,595",100%
2022,104,Father Stu,"$21,592,379","$20,884,796",96.7%,"$707,583",3.3%
2022,105,Emergency Declaration,"$21,400,327","$412,196",1.9%,"$20,988,131",98.1%
2022,106,The Amazing Maurice,"$21,112,438","$4,303,645",20.4%,"$16,808,793",79.6%
2022,107,Crayon Shin-chan: Mononoke Ninja Chinpuden,"$20,617,005",-,-,"$20,617,005",100%
2022,108,Three Thousand Years of Longing,"$20,282,422","$8,286,741",40.9%,"$11,995,681",59.1%
2022,109,Turning Red,"$20,122,621",-,-,"$20,122,621",100%
2022,110,After Ever Happy,"$19,238,073","$1,072,750",5.6%,"$18,165,323",94.4%
2022,111,School of Magical Animals: Part 2,"$19,211,620",-,-,"$19,211,620",100%
2022,112,Simone: Woman of the Century,"$19,159,365",-,-,"$19,159,365",100%
2022,113,Beast,"$18,911,959",-,-,"$18,911,959",100%
2022,114,Broker,"$18,820,609","$1,046,899",5.6%,"$17,773,710",94.4%
2022,115,Godfather,"$18,737,287",-,-,"$18,737,287",100%
2022,116,Bhool Bhulaiyaa 2,"$18,307,258",-,-,"$18,307,258",100%
2022,117,November,"$18,197,176",-,-,"$18,197,176",100%
2022,118,Fragments of the Last Will,"$17,954,691",-,-,"$17,954,691",100%
2022,119,The Quintessential Quintuplets Movie,"$17,506,171","$502,000",2.9%,"$17,004,171",97.1%
2022,120,Fall,"$17,363,261","$7,240,521",41.7%,"$10,122,740",58.3%
